#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.12400000   0.00000000
  0.00000000   6.12400000   0.00000000
  0.00000000   1.60227449   0.00000000
287.49395247   1.60227449   0.00000000
287.49395247   2.17610728   0.00000000
339.53636345   2.17610728   0.00000000
339.53636345   6.49620000   0.00000000
871.00953118   6.49620000   0.00000000
871.00953118  -1.72590509   0.00000000
926.02558010  -1.72590509   0.00000000
926.02558010   3.09472748   0.00000000
944.95868053   3.09472748   0.00000000
944.95868053   2.07000000   0.00000000
954.95868053   2.07000000   0.00000000
