#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.12400000   0.00000000
  0.00000000   6.12400000   0.00000000
  0.00000000   4.11522107   0.00000000
279.16775785   4.11522107   0.00000000
279.16775785   2.69495339   0.00000000
373.43557282   2.69495339   0.00000000
373.43557282   6.49620000   0.00000000
902.59483877   6.49620000   0.00000000
902.59483877  -3.11078768   0.00000000
954.58904012  -3.11078768   0.00000000
954.58904012   2.69561258   0.00000000
981.35116135   2.69561258   0.00000000
981.35116135   2.07000000   0.00000000
991.35116135   2.07000000   0.00000000
