#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.12400000   0.00000000
  0.00000000   6.12400000   0.00000000
  0.00000000   4.23358119   0.00000000
267.48101319   4.23358119   0.00000000
267.48101319   3.31004054   0.00000000
358.22067264   3.31004054   0.00000000
358.22067264   6.49620000   0.00000000
892.51726310   6.49620000   0.00000000
892.51726310  -3.25796556   0.00000000
944.48693629  -3.25796556   0.00000000
944.48693629   2.68075971   0.00000000
971.10876731   2.68075971   0.00000000
971.10876731   2.07000000   0.00000000
981.10876731   2.07000000   0.00000000
