#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.12399160   0.00000000
  0.00000000   6.12399160   0.00000000
  0.00000000   4.74839861   0.00000000
 80.75289939   4.74839861   0.00000000
 80.75289939   6.49624033   0.00000000
600.79435175   6.49624033   0.00000000
600.79435175  -2.81234441   0.00000000
653.46961342  -2.81234441   0.00000000
653.46961342   3.75484784   0.00000000
673.21152030   3.75484784   0.00000000
673.21152030   2.07000000   0.00000000
683.21152030   2.07000000   0.00000000
