# Experiment IPTS-30384 Run 206976
# Reduction 2.0.10
# Run title: Expt1_Cell1_Cu-A_BF4_EtOH_ramp_OCV6-206976-1.
# Run start time: 2023-07-13T01:59:21.357826667
# Reduction time: Thu Jul 13 10:20:29 2023
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 206976    205740    0.020946       13.1015        16.4518      0.005        0.0100       1            0           
# 206977    205741    0.020946       10.5264        13.8767      0.005        0.0125       1            0           
# 206978    205742    0.0209403      7.91981        11.2701      0.005        0.0166       1.1158       -3.487      
# 206979    205743    0.020963       5.26297        8.61328      0.005        0.0250       7.8759       3.3823      
# 206980    205744    0.020946       2.51156        5.86187      0.005        0.0523       33.600       0.0003      
# 206981    205744    0.0412959      2.51156        5.86187      0.005        0.1033       129.02       0.0022      
# 206982    205744    0.0817804      2.51156        5.86187      0.005        0.2045       443.75       0.0120      
# dQ0[1/Angstrom] = 0
# dQ/Q = 0.0277955
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0079921268598835    1.0180657508233235    0.0846493260941594    0.0002221009231441
  0.0081120087627818    1.0203235063842759    0.0783257663268151    0.0002254324369912
  0.0082336888942235    1.0292515852143798    0.0743337109396840    0.0002288139235461
  0.0083571942276368    0.9243615214962000    0.0670962219248026    0.0002322461323993
  0.0084825521410514    0.9731491718524117    0.0662467459358742    0.0002357298243853
  0.0086097904231672    1.0115301583559848    0.0636195088203961    0.0002392657717511
  0.0087389372795147    0.8886892297757805    0.0566771263786057    0.0002428547583273
  0.0088700213387074    0.9711773125503782    0.0565588339359598    0.0002464975797022
  0.0090030716587880    1.0149539892434305    0.0553004541342257    0.0002501950433978
  0.0091381177336698    1.1071802595160816    0.0546905447069328    0.0002539479690487
  0.0092751894996749    0.9990533381478945    0.0495895564153595    0.0002577571885845
  0.0094143173421700    0.9543932632650137    0.0467425651326960    0.0002616235464132
  0.0095555321023025    0.8959790280637497    0.0498055643366978    0.0002655478996094
  0.0096988650838371    0.9400021691786216    0.0860784384726909    0.0002695311181036
  0.0098443480600946    0.8717574372732781    0.0792556404793330    0.0002735740848751
  0.0099920132809960    0.9445283515904028    0.0749104450156496    0.0002776776961483
  0.0101418934802110    0.7535106237039607    0.0744697651841802    0.0002818428615905
  0.0102940218824141    0.9592532074343153    0.0727803026250125    0.0002860705045143
  0.0104484322106503    0.9603534793653439    0.0691901102658799    0.0002903615620821
  0.0106051586938101    0.9584594182200026    0.0643296614748575    0.0002947169855133
  0.0107642360742173    0.8922495872141246    0.0603932013162609    0.0002991377402960
  0.0109256996153305    0.7788146044733548    0.0537029183954370    0.0003036248064004
  0.0110895851095605    0.7823774635585429    0.0521307036280102    0.0003081791784964
  0.0112559288862039    0.7569697516294303    0.0502302702672974    0.0003128018661739
  0.0114247678194969    0.7987471536160105    0.0481246615480887    0.0003174938941665
  0.0115961393367894    0.9214631640474087    0.0495766789739518    0.0003222563025790
  0.0117700814268412    0.9271815773790412    0.0615563185014735    0.0003271786404003
  0.0119466326482438    1.0377535904249366    0.0664027959374254    0.0003319964993244
  0.0121258321379675    0.9935398816312927    0.1113915453753684    0.0003370676148064
  0.0123077196200370    0.8627918285208107    0.0955315149177855    0.0003421236290285
  0.0124923354143376    0.9035058809415087    0.0969667906565548    0.0003472554834639
  0.0126797204455526    0.9345919330198115    0.0965316016076599    0.0003524643157159
  0.0128699162522359    1.0133485127192536    0.1002064154690168    0.0003577512804516
  0.0130629649960195    1.0052026404337016    0.0957091330978423    0.0003631175496584
  0.0132589094709597    0.8467448800591383    0.0844740544322189    0.0003685643129033
  0.0134577931130241    1.0547204000893218    0.0954214463053618    0.0003740927775968
  0.0136596600097195    1.0275855322839642    0.0903576971463445    0.0003797041692608
  0.0138645549098653    1.0204375421199914    0.0882895025528532    0.0003853997317997
  0.0140725232335133    0.8552555320595115    0.0761884026684276    0.0003911807277767
  0.0142836110820160    0.9336970198989553    0.0790218018700879    0.0003970484386933
  0.0144978652482462    0.9457829343189224    0.0776505154180791    0.0004030041652737
  0.0147153332269699    0.7609005480612530    0.0653376984710686    0.0004090492277528
  0.0149360632253744    0.8613133072099941    0.0699229144218833    0.0004151849661691
  0.0151601041737551    0.7154277800190711    0.0598662416785226    0.0004214127406617
  0.0153875057363614    0.7753317541361906    0.0436053884737195    0.0004277339317716
  0.0156183183224068    0.6809869688854352    0.0381670821164254    0.0004341499407482
  0.0158525930972429    0.6088017307383671    0.0343691130911911    0.0004406621898594
  0.0160903819937015    0.5930511329408990    0.0462774048118872    0.0004467886132971
  0.0163317377236071    0.4428088915083180    0.0370441149280277    0.0004534904424965
  0.0165767137894612    0.4481872277275069    0.0355719589818299    0.0004602927991340
  0.0168253644963031    0.2842419993998522    0.0266745478733584    0.0004671971911210
  0.0170777449637476    0.2707066348689960    0.0239610703494788    0.0004742051489878
  0.0173339111382038    0.1619932921435888    0.0175282767429825    0.0004813182262226
  0.0175939198052769    0.1220035344673939    0.0139144397315398    0.0004885379996159
  0.0178578286023560    0.0697481796131430    0.0099760717643337    0.0004958660696102
  0.0181256960313914    0.0485107768885937    0.0089943621867871    0.0005033040606543
  0.0183975814718623    0.0279060686190647    0.0066328792629928    0.0005108536215641
  0.0186735451939402    0.0243262833749952    0.0055141317174841    0.0005185164258876
  0.0189536483718493    0.0291044327405531    0.0057609214470215    0.0005262941722759
  0.0192379530974270    0.0486396013251201    0.0068042146196731    0.0005341885848601
