# Experiment IPTS-30384 Run 207310
# Reduction 2.0.12
# Run title: Exp11_Cu-k_BF4_dTHF_EtOH_rep4_OCV4_s7-207310-7.
# Run start time: 2023-07-17T17:33:52.274845667
# Reduction time: Thu Jul 20 13:52:32 2023
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 207310    205744    0.0817917      2.51156        5.86187      0.005        0.2045       443.75       0.0120      
# dQ0[1/Angstrom] = 0
# dQ/Q = 0.0277916
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0891581838336657    0.0000448965676090    0.0000031163883058    0.0024778453504473
  0.0904955565911707    0.0000605548385208    0.0000039739411520    0.0025150130307040
  0.0918529899400382    0.0000891684358341    0.0000053726672421    0.0025527382261645
  0.0932307847891388    0.0001114596814244    0.0000064864965296    0.0025910292995570
  0.0946292465609759    0.0001005001987660    0.0000058739587459    0.0026298947390504
  0.0960486852593905    0.0000770702183863    0.0000045958746879    0.0026693431601361
  0.0974894155382814    0.0000477827811108    0.0000030532758794    0.0027093833075382
  0.0989517567713556    0.0000217874101132    0.0000017667725504    0.0027500240571512
  0.1004360331229259    0.0000192548500687    0.0000015777764601    0.0027912744180085
  0.1019425736197698    0.0000234003999684    0.0000018141651977    0.0028331435342786
  0.1034717122240663    0.0000344754623677    0.0000022768414721    0.0028756406872928
  0.1050237879074273    0.0000357678061077    0.0000023332003271    0.0029187752976022
  0.1065991447260387    0.0000270573738523    0.0000018596766762    0.0029625569270662
  0.1081981318969293    0.0000175607688863    0.0000014095585038    0.0030069952809722
  0.1098211038753832    0.0000077151782233    0.0000010555004264    0.0030521002101868
  0.1114684204335139    0.0000045531977892    0.0000009243837340    0.0030978817133396
  0.1131404467400166    0.0000076804492657    0.0000010618033064    0.0031443499390397
  0.1148375534411168    0.0000128310138607    0.0000011899929892    0.0031915151881253
  0.1165601167427336    0.0000123939838391    0.0000011537228698    0.0032393879159472
  0.1183085184938746    0.0000093382508831    0.0000010481980958    0.0032879787346864
  0.1200831462712827    0.0000050086143574    0.0000009201567100    0.0033372984157067
  0.1218843934653519    0.0000031359525146    0.0000008470022143    0.0033873578919423
  0.1237126593673322    0.0000032282943909    0.0000007921094427    0.0034381682603214
  0.1255683492578422    0.0000033136803448    0.0000008831528038    0.0034897407842262
  0.1274518744967098    0.0000041135019408    0.0000009829517638    0.0035420868959896
  0.1293636526141604    0.0000047118686632    0.0000009427959307    0.0035952181994295
  0.1313041074033728    0.0000021515067759    0.0000008640526891    0.0036491464724209
  0.1332736690144234    0.0000027878792753    0.0000008002083523    0.0037038836695072
  0.1352727740496397    0.0000016772387372    0.0000009053324114    0.0037594419245498
  0.1373018656603843    0.0000047061665376    0.0000008371674669    0.0038158335534181
  0.1393613936452901    0.0000038629756606    0.0000008669922576    0.0038730710567194
  0.1414518145499694    0.0000029079705751    0.0000008376498645    0.0039311671225701
  0.1435735917682189    0.0000026740658217    0.0000008886722252    0.0039901346294087
  0.1457271956447422    0.0000023144420431    0.0000008484651471    0.0040499866488498
  0.1479131035794133    0.0000034179773533    0.0000008309373286    0.0041107364485826
  0.1501318001331045    0.0000031090092487    0.0000008208729161    0.0041723974953113
  0.1523837771351011    0.0000038724871378    0.0000007973653496    0.0042349834577410
  0.1546695337921276    0.0000031806943261    0.0000008179993544    0.0042985082096071
  0.1569895767990095    0.0000036279161630    0.0000007501334450    0.0043629858327512
  0.1593444204509946    0.0000038963838485    0.0000008089614158    0.0044284306202425
  0.1617345867577595    0.0000030274039306    0.0000007936837974    0.0044948570795461
  0.1641606055591259    0.0000017405129121    0.0000007914099594    0.0045622799357393
  0.1666230146425127    0.0000026562689000    0.0000007853132960    0.0046307141347754
  0.1691223598621504    0.0000020303140685    0.0000007379331995    0.0047001748467970
  0.1716591952600827    0.0000012977751258    0.0000008028267581    0.0047706774694990
  0.1742340831889839   -0.0000008028818240    0.0000007946528132    0.0048422376315415
  0.1768475944368186    0.0000020499488979    0.0000007761193195    0.0049148711960146
  0.1795003083533709    0.0000008351463735    0.0000007235019762    0.0049885942639548
  0.1821928129786714    0.0000013867106385    0.0000007602022374    0.0050634231779141
  0.1849257051733515   -0.0000006696477691    0.0000008141540630    0.0051393745255828
  0.1876995907509517    0.0000003627720915    0.0000007485909772    0.0052164651434666
  0.1905150846122160    0.0000009599026501    0.0000007447429979    0.0052947121206186
  0.1933728108813992    0.0000014878410542    0.0000007634555746    0.0053741328024278
  0.1962734030446202   -0.0000002399454423    0.0000008347884667    0.0054547447944643
