#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.28500000   0.00000000
  0.00000000   6.28500000   0.00000000
  0.00000000   3.72465024   0.00000000
202.76593721   3.72465024   0.00000000
202.76593721   3.40992299   0.00000000
247.28679401   3.40992299   0.00000000
247.28679401   6.56600000   0.00000000
807.53651954   6.56600000   0.00000000
807.53651954  -0.52147244   0.00000000
860.14891200  -0.52147244   0.00000000
860.14891200   1.45939668   0.00000000
889.87675415   1.45939668   0.00000000
889.87675415   2.07000000   0.00000000
899.87675415   2.07000000   0.00000000
