#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.28530370   0.00000000
  0.00000000   6.28530370   0.00000000
  0.00000000   4.98327870   0.00000000
 60.64932289   4.98327870   0.00000000
 60.64932289   6.56610653   0.00000000
614.06745636   6.56610653   0.00000000
614.06745636  -2.47264647   0.00000000
667.48888349  -2.47264647   0.00000000
667.48888349   3.69273675   0.00000000
689.77760710   3.69273675   0.00000000
689.77760710   2.07000000   0.00000000
699.77760710   2.07000000   0.00000000
