#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.28500000   0.00000000
  0.00000000   6.28500000   0.00000000
  0.00000000   3.82493116   0.00000000
189.42389186   3.82493116   0.00000000
189.42389186   3.79481261   0.00000000
227.99494015   3.79481261   0.00000000
227.99494015   6.56600000   0.00000000
788.50454555   6.56600000   0.00000000
788.50454555  -0.49110797   0.00000000
845.08984379  -0.49110797   0.00000000
845.08984379   2.57179490   0.00000000
872.22415590   2.57179490   0.00000000
872.22415590   2.07000000   0.00000000
882.22415590   2.07000000   0.00000000
