#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   1.00000000   0.00000000
  0.00000000   1.00000000   0.00000000
  0.00000000   3.39113890   0.00000000
 52.40554594   3.39113890   0.00000000
 52.40554594   6.39400000   0.00000000
602.09471628   6.39400000   0.00000000
602.09471628  -0.60635995   0.00000000
650.83612084  -0.60635995   0.00000000
650.83612084   1.39709514   0.00000000
667.96416926   1.39709514   0.00000000
667.96416926   2.07000000   0.00000000
677.96416926   2.07000000   0.00000000
