#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.22600000   0.00000000
  0.00000000   6.22600000   0.00000000
  0.00000000   4.61030857   0.00000000
157.60571750   4.61030857   0.00000000
157.60571750   2.88489045   0.00000000
209.85439743   2.88489045   0.00000000
209.85439743   6.48500000   0.00000000
769.83292706   6.48500000   0.00000000
769.83292706  -2.19378881   0.00000000
814.91480121  -2.19378881   0.00000000
814.91480121   1.28820423   0.00000000
858.41525150   1.28820423   0.00000000
858.41525150   2.07000000   0.00000000
868.41525150   2.07000000   0.00000000
