#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.22600000   0.00000000
  0.00000000   6.22600000   0.00000000
  0.00000000   4.40089640   0.00000000
158.86508465   4.40089640   0.00000000
158.86508465   2.76638505   0.00000000
214.77992873   2.76638505   0.00000000
214.77992873   6.48500000   0.00000000
776.30860121   6.48500000   0.00000000
776.30860121  -2.90459609   0.00000000
818.22794508  -2.90459609   0.00000000
818.22794508   2.14037352   0.00000000
857.66424853   2.14037352   0.00000000
857.66424853   2.07000000   0.00000000
867.66424853   2.07000000   0.00000000
