#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.22600000   0.00000000
  0.00000000   6.22600000   0.00000000
  0.00000000   4.53397360   0.00000000
158.63560307   4.53397360   0.00000000
158.63560307   2.97755469   0.00000000
215.91565290   2.97755469   0.00000000
215.91565290   6.48500000   0.00000000
778.60605212   6.48500000   0.00000000
778.60605212  -4.20812056   0.00000000
809.83943482  -4.20812056   0.00000000
809.83943482   0.94009715   0.00000000
838.51760566   0.94009715   0.00000000
838.51760566   2.07000000   0.00000000
848.51760566   2.07000000   0.00000000
