#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   2.45670303   0.00000000
247.34530824   2.45670303   0.00000000
247.34530824   1.04579666   0.00000000
264.08329365   1.04579666   0.00000000
264.08329365   6.43700000   0.00000000
829.18160093   6.43700000   0.00000000
829.18160093  -2.87471243   0.00000000
881.68989534  -2.87471243   0.00000000
881.68989534   2.80251785   0.00000000
904.14792305   2.80251785   0.00000000
904.14792305   2.07000000   0.00000000
914.14792305   2.07000000   0.00000000
