#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   2.78357036   0.00000000
228.23199862   2.78357036   0.00000000
228.23199862   1.86903956   0.00000000
265.81189670   1.86903956   0.00000000
265.81189670   6.43700000   0.00000000
829.35438137   6.43700000   0.00000000
829.35438137  -2.66156498   0.00000000
882.21820851  -2.66156498   0.00000000
882.21820851   3.38583271   0.00000000
900.44419065   3.38583271   0.00000000
900.44419065   2.07000000   0.00000000
910.44419065   2.07000000   0.00000000
