#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   1.00000000   0.00000000
  0.00000000   1.00000000   0.00000000
  0.00000000   3.08390372   0.00000000
 52.29842145   3.08390372   0.00000000
 52.29842145   6.39400000   0.00000000
601.05803911   6.39400000   0.00000000
601.05803911  -0.81009033   0.00000000
653.14895831  -0.81009033   0.00000000
653.14895831   2.40311586   0.00000000
677.45497888   2.40311586   0.00000000
677.45497888   2.07000000   0.00000000
687.45497888   2.07000000   0.00000000
