#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   2.38740290   0.00000000
267.00500721   2.38740290   0.00000000
267.00500721   1.15376182   0.00000000
278.36538292   1.15376182   0.00000000
278.36538292   6.43700000   0.00000000
844.42833936   6.43700000   0.00000000
844.42833936  -2.93290561   0.00000000
898.86088552  -2.93290561   0.00000000
898.86088552   4.10929231   0.00000000
913.65866701   4.10929231   0.00000000
913.65866701   2.07000000   0.00000000
923.65866701   2.07000000   0.00000000
