#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   1.62838695   0.00000000
266.07149365   1.62838695   0.00000000
266.07149365   3.39120322   0.00000000
284.18648214   3.39120322   0.00000000
284.18648214   6.43700000   0.00000000
844.54030085   6.43700000   0.00000000
844.54030085  -2.73020886   0.00000000
896.91134751  -2.73020886   0.00000000
896.91134751   2.86235512   0.00000000
924.90726442   2.86235512   0.00000000
924.90726442   2.07000000   0.00000000
934.90726442   2.07000000   0.00000000
