#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   1.95884463   0.00000000
266.58592256   1.95884463   0.00000000
266.58592256   4.48771023   0.00000000
281.70007625   4.48771023   0.00000000
281.70007625   6.43700000   0.00000000
839.01439763   6.43700000   0.00000000
839.01439763  -3.03549988   0.00000000
891.39239545  -3.03549988   0.00000000
891.39239545   2.81630135   0.00000000
919.49131565   2.81630135   0.00000000
919.49131565   2.07000000   0.00000000
929.49131565   2.07000000   0.00000000
