#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   1.96084997   0.00000000
272.75740241   1.96084997   0.00000000
272.75740241   6.43700000   0.00000000
838.07336349   6.43700000   0.00000000
838.07336349  -3.08789633   0.00000000
891.73006867  -3.08789633   0.00000000
891.73006867   3.37675800   0.00000000
913.56031923   3.37675800   0.00000000
913.56031923   2.07000000   0.00000000
923.56031923   2.07000000   0.00000000
