#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   2.67940956   0.00000000
225.04728726   2.67940956   0.00000000
225.04728726   1.20797883   0.00000000
258.79902932   1.20797883   0.00000000
258.79902932   6.43700000   0.00000000
820.21082138   6.43700000   0.00000000
820.21082138  -2.58882317   0.00000000
872.19910590  -2.58882317   0.00000000
872.19910590   3.00955696   0.00000000
894.34991763   3.00955696   0.00000000
894.34991763   2.07000000   0.00000000
904.34991763   2.07000000   0.00000000
