#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.22612315   0.00000000
  0.00000000   6.22612315   0.00000000
  0.00000000   4.46881041   0.00000000
 42.17909588   4.46881041   0.00000000
 42.17909588   6.48515926   0.00000000
602.48599296   6.48515926   0.00000000
602.48599296  -2.39661817   0.00000000
656.04889894  -2.39661817   0.00000000
656.04889894   3.43084113   0.00000000
675.87615178   3.43084113   0.00000000
675.87615178   2.07000000   0.00000000
685.87615178   2.07000000   0.00000000
