#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   1.00000000   0.00000000
  0.00000000   1.00000000   0.00000000
  0.00000000   2.74259855   0.00000000
 40.80411581   2.74259855   0.00000000
 40.80411581   6.39400000   0.00000000
590.55139721   6.39400000   0.00000000
590.55139721  -1.44978736   0.00000000
643.24891362  -1.44978736   0.00000000
643.24891362   2.58499746   0.00000000
662.75248708   2.58499746   0.00000000
662.75248708   2.07000000   0.00000000
672.75248708   2.07000000   0.00000000
