#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.28500000   0.00000000
  0.00000000   6.28500000   0.00000000
  0.00000000   3.42831166   0.00000000
198.27484886   3.42831166   0.00000000
198.27484886   3.24717116   0.00000000
243.45628226   3.24717116   0.00000000
243.45628226   6.56600000   0.00000000
803.84785771   6.56600000   0.00000000
803.84785771  -0.44586681   0.00000000
858.97820113  -0.44586681   0.00000000
858.97820113   2.34983267   0.00000000
883.22328329   2.34983267   0.00000000
883.22328329   2.07000000   0.00000000
893.22328329   2.07000000   0.00000000
