#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.24053463   0.00000000
  0.00000000   6.24053463   0.00000000
  0.00000000   3.37447187   0.00000000
 25.74838745   3.37447187   0.00000000
 25.74838745   6.52496174   0.00000000
594.67969498   6.52496174   0.00000000
594.67969498  -1.99766714   0.00000000
648.09950470  -1.99766714   0.00000000
648.09950470   2.87899819   0.00000000
671.61275875   2.87899819   0.00000000
671.61275875   2.07000000   0.00000000
681.61275875   2.07000000   0.00000000
